station,wave,value,invivo,bias,bias.cor.insitu
OUT-F18,519,0.400610165,0.454793096,-13.52510139,0.454793096
OUT-F18,520,0.394799668,0.450969225,-14.2273567,0.450969225
OUT-F18,521,0.390452495,0.445131135,-14.00391615,0.445131135
OUT-F18,522,0.383611064,0.441021676,-14.96583842,0.441021676
OUT-F18,523,0.38230804,0.433676893,-13.43650869,0.433676893
OUT-F18,524,0.375534246,0.430617861,-14.66806705,0.430617861
OUT-F18,525,0.372432005,0.425467134,-14.24021789,0.425467134
OUT-F18,526,0.364338983,0.422012784,-15.82970906,0.422012784
OUT-F18,527,0.363782966,0.416970965,-14.62080525,0.416970965
OUT-F18,528,0.358981261,0.411633293,-14.66706977,0.411633293
OUT-F18,529,0.356031115,0.40753073,-14.46491973,0.40753073
OUT-F18,530,0.351527135,0.405093343,-15.23814314,0.405093343
OUT-F18,531,0.349867782,0.398721743,-13.96354952,0.398721743
OUT-F18,532,0.341384159,0.394124069,-15.44884512,0.394124069
OUT-F18,533,0.339285629,0.389849672,-14.9030901,0.389849672
OUT-F18,534,0.333166964,0.384973472,-15.54971339,0.384973472
OUT-F18,535,0.330693937,0.380862174,-15.17059474,0.380862174
OUT-F18,536,0.325584712,0.377529375,-15.95426968,0.377529375
OUT-F18,537,0.320433111,0.371864062,-16.05044836,0.371864062
OUT-F18,538,0.320440974,0.368495983,-14.99652445,0.368495983
OUT-F18,539,0.316720754,0.365442389,-15.383152,0.365442389
OUT-F18,540,0.314750307,0.360391343,-14.50071215,0.360391343
OUT-F18,541,0.307973929,0.356240277,-15.6722188,0.356240277
OUT-F18,542,0.303734492,0.352325603,-15.99789035,0.352325603
OUT-F18,543,0.297581916,0.347714545,-16.84666517,0.347714545
OUT-F18,544,0.295485367,0.345861426,-17.04857994,0.345861426
OUT-F18,545,0.294172226,0.341914585,-16.2293904,0.341914585
OUT-F18,546,0.290115995,0.337299538,-16.26368205,0.337299538
OUT-F18,547,0.286452614,0.333649596,-16.47636631,0.333649596
OUT-F18,548,0.281215225,0.329339042,-17.11280639,0.329339042
OUT-F18,549,0.280771554,0.326053128,-16.12755044,0.326053128
OUT-F18,550,0.278858337,0.322771652,-15.74753528,0.322771652
OUT-F18,551,0.273188355,0.318924984,-16.74179304,0.318924984
OUT-F18,552,0.268549366,0.314788346,-17.21805592,0.314788346
OUT-F18,553,0.264376353,0.311084927,-17.6674553,0.311084927
OUT-F18,554,0.259162951,0.309110689,-19.27271541,0.309110689
OUT-F18,555,0.260295909,0.303954274,-16.77258977,0.303954274
OUT-F18,556,0.256646664,0.299779768,-16.80641522,0.299779768
OUT-F18,557,0.253424868,0.296312611,-16.92325751,0.296312611
OUT-F18,558,0.253655921,0.293995904,-15.90342652,0.293995904
OUT-F18,559,0.246746051,0.290087703,-17.56528699,0.290087703
OUT-F18,560,0.244734149,0.286656196,-17.12962706,0.286656196
OUT-F18,561,0.241514999,0.282618304,-17.01894506,0.282618304
OUT-F18,562,0.236262097,0.28050697,-18.72702967,0.28050697
OUT-F18,563,0.237794709,0.276882308,-16.43753941,0.276882308
OUT-F18,564,0.233349331,0.272318953,-16.70012159,0.272318953
OUT-F18,565,0.229323441,0.269957727,-17.71920298,0.269957727
OUT-F18,566,0.225127159,0.267079952,-18.6351541,0.267079952
OUT-F18,567,0.226986487,0.263971129,-16.29376378,0.263971129
OUT-F18,568,0.221936433,0.26261317,-18.32810253,0.26261317
OUT-F18,569,0.217249235,0.258298496,-18.89500831,0.258298496
OUT-F18,570,0.219022488,0.255009214,-16.4306078,0.255009214
OUT-F18,571,0.213419204,0.252156815,-18.15094906,0.252156815
OUT-F18,572,0.212679175,0.249458445,-17.29331045,0.249458445
OUT-F18,573,0.212384941,0.243036279,-14.43197331,0.243036279
OUT-F18,574,0.209750557,0.242918532,-15.81305694,0.242918532
OUT-F18,575,0.205589628,0.239991587,-16.73331448,0.239991587
OUT-F18,576,0.200463783,0.238922232,-19.18473673,0.238922232
OUT-F18,577,0.202702731,0.237207352,-17.02227732,0.237207352
OUT-F18,578,0.199982591,0.23832552,-19.17313343,0.23832552
OUT-F18,579,0.198627024,0.236797433,-19.21712778,0.236797433
OUT-F18,580,0.195357662,0.23394579,-19.75255416,0.23394579
OUT-F18,581,0.194720216,0.232248413,-19.27288176,0.232248413
OUT-F18,582,0.188994074,0.229914441,-21.65166671,0.229914441
OUT-F18,583,0.193318753,0.226044825,-16.9285553,0.226044825
OUT-F18,584,0.189095913,0.224901685,-18.93524372,0.224901685
OUT-F18,585,0.187542264,0.221617729,-18.16948579,0.221617729
OUT-F18,586,0.184348838,0.220035002,-19.3579544,0.220035002
OUT-F18,587,0.179296942,0.21770227,-21.41995707,0.21770227
OUT-F18,588,0.182762,0.216666319,-18.55107681,0.216666319
OUT-F18,589,0.179953587,0.214534577,-19.21661612,0.214534577
OUT-F18,590,0.178672751,0.211152106,-18.17812443,0.211152106
OUT-F18,591,0.177200914,0.20949238,-18.22308095,0.20949238
OUT-F18,592,0.173594827,0.207170589,-19.34145307,0.207170589
OUT-F18,593,0.175426407,0.206440152,-17.67906299,0.206440152
OUT-F18,594,0.172455769,0.202525902,-17.43643206,0.202525902
OUT-F18,595,0.170086178,0.200439098,-17.84561236,0.200439098
OUT-F18,596,0.168163279,0.198864913,-18.25703815,0.198864913
OUT-F18,597,0.166990435,0.196576591,-17.71727584,0.196576591
OUT-F18,598,0.165729553,0.193659989,-16.85302078,0.193659989
OUT-F18,599,0.16110631,0.191440657,-18.82877648,0.191440657
OUT-F18,600,0.164307402,0.188246101,-14.56945865,0.188246101
OUT-F18,601,0.161678398,0.187449136,-15.93950603,0.187449136
OUT-F18,602,0.157952324,0.184786903,-16.98903715,0.184786903
OUT-F18,603,0.154915479,0.183573165,-18.49891708,0.183573165
OUT-F18,604,0.157044983,0.184011536,-17.17122858,0.184011536
OUT-F18,605,0.157412184,0.180951353,-14.95384182,0.180951353
OUT-F18,606,0.153729034,0.180952246,-17.70856896,0.180952246
OUT-F18,607,0.153741849,0.179377336,-16.67437147,0.179377336
OUT-F18,608,0.149515581,0.178344276,-19.28139851,0.178344276
